username,passwordHash,role,securityQuestion,securityAnswer,linkedId
admin,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,ADMIN,Reset Keyword?,masterkey,
teacher,cde383eee8ee7a4400adf7a15f716f179a2eb97646b37e089eb8d6d04e663416,TEACHER,Favorite subject?,grading,
stu1001,703b0a3d6ad75b649a28adde7d83c6251da457549263bc7ff45ec709b0a8448b,STUDENT,Security validation?,STU1001,STU1001
stu1002,703b0a3d6ad75b649a28adde7d83c6251da457549263bc7ff45ec709b0a8448b,STUDENT,Security validation?,STU1002,STU1002
stu1003,703b0a3d6ad75b649a28adde7d83c6251da457549263bc7ff45ec709b0a8448b,STUDENT,Security validation?,STU1003,STU1003
stu1004,703b0a3d6ad75b649a28adde7d83c6251da457549263bc7ff45ec709b0a8448b,STUDENT,Security validation?,STU1004,STU1004
stu1005,703b0a3d6ad75b649a28adde7d83c6251da457549263bc7ff45ec709b0a8448b,STUDENT,Security validation?,STU1005,STU1005
stu1006,703b0a3d6ad75b649a28adde7d83c6251da457549263bc7ff45ec709b0a8448b,STUDENT,Security validation?,STU1006,STU1006
stu1007,703b0a3d6ad75b649a28adde7d83c6251da457549263bc7ff45ec709b0a8448b,STUDENT,Security validation?,STU1007,STU1007
stu1008,703b0a3d6ad75b649a28adde7d83c6251da457549263bc7ff45ec709b0a8448b,STUDENT,Security validation?,STU1008,STU1008
stu1009,703b0a3d6ad75b649a28adde7d83c6251da457549263bc7ff45ec709b0a8448b,STUDENT,Security validation?,STU1009,STU1009
stu1010,703b0a3d6ad75b649a28adde7d83c6251da457549263bc7ff45ec709b0a8448b,STUDENT,Security validation?,STU1010,STU1010
stu1011,703b0a3d6ad75b649a28adde7d83c6251da457549263bc7ff45ec709b0a8448b,STUDENT,Security validation?,STU1011,STU1011
stu1012,703b0a3d6ad75b649a28adde7d83c6251da457549263bc7ff45ec709b0a8448b,STUDENT,Security validation?,STU1012,STU1012
stu1013,703b0a3d6ad75b649a28adde7d83c6251da457549263bc7ff45ec709b0a8448b,STUDENT,Security validation?,STU1013,STU1013
stu1014,703b0a3d6ad75b649a28adde7d83c6251da457549263bc7ff45ec709b0a8448b,STUDENT,Security validation?,STU1014,STU1014
stu1015,703b0a3d6ad75b649a28adde7d83c6251da457549263bc7ff45ec709b0a8448b,STUDENT,Security validation?,STU1015,STU1015
